Zeitstempel;Maschinen_ID;Vibration_mm_s;Status;Produzierte_Stueck;Fehlteile;Temperatur_C
2025-01-02 22:00:00;Maschine_01;14,55;Produktion;98;2;68,5
2025-01-02 23:00:00;Maschine_01;15,0;Produktion;90;2;64,5
2025-01-03 00:00:00;Maschine_01;12,05;Produktion;95;2;68,3
2025-01-03 01:00:00;Maschine_01;14,35;Produktion;92;2;75,0
2025-01-03 02:00:00;Maschine_01;12,86;Produktion;98;2;59,8
2025-01-03 03:00:00;Maschine_01;11,08;Produktion;97;2;67,1
2025-01-03 04:00:00;Maschine_01;13,71;Produktion;101;2;71,5
2025-01-03 05:00:00;Maschine_01;16,48;Produktion;95;2;68,9
2025-01-03 06:00:00;Maschine_01;13,05;Produktion;91;2;69,3
2025-01-03 07:00:00;Maschine_01;15,02;Produktion;90;2;62,6
2025-01-03 08:00:00;Maschine_01;14,01;Produktion;92;2;64,4
2025-01-03 09:00:00;Maschine_01;13,05;Produktion;95;2;68,4
2025-01-03 10:00:00;Maschine_01;12,89;Produktion;92;2;70,5
2025-01-03 11:00:00;Maschine_01;11,65;Produktion;92;2;64,9
2025-01-03 12:00:00;Maschine_01;13,39;Produktion;92;2;62,7
2025-01-03 13:00:00;Maschine_01;11,75;Produktion;91;2;68,0
2025-01-03 14:00:00;Maschine_01;11,79;Produktion;97;2;63,2
2025-01-03 15:00:00;Maschine_01;14,7;Produktion;99;2;72,2
2025-01-03 16:00:00;Maschine_01;13,84;Produktion;102;2;69,8
2025-01-03 17:00:00;Maschine_01;11,3;Produktion;103;2;69,2
2025-01-03 18:00:00;Maschine_01;13,42;Produktion;91;2;68,4
2025-01-03 19:00:00;Maschine_01;13,32;Produktion;106;2;64,2
2025-01-03 20:00:00;Maschine_01;11,73;Produktion;101;2;66,0
2025-01-03 21:00:00;Maschine_01;13,0;Produktion;109;2;69,7
2025-01-03 22:00:00;Maschine_01;15,57;Produktion;105;3;65,2
2025-01-03 23:00:00;Maschine_01;13,09;Produktion;106;2;69,4
2025-01-04 00:00:00;Maschine_01;11,13;Produktion;94;2;59,3
2025-01-04 01:00:00;Maschine_01;15,77;Produktion;90;2;65,4
2025-01-04 02:00:00;Maschine_01;10,77;Produktion;97;2;65,8
2025-01-04 03:00:00;Maschine_01;13,37;Produktion;94;2;70,0
2025-01-04 04:00:00;Maschine_01;11,11;Produktion;105;2;74,6
2025-01-04 05:00:00;Maschine_01;12,08;Produktion;103;2;66,4
2025-01-04 06:00:00;Maschine_01;12,27;Produktion;94;2;71,8
2025-01-04 07:00:00;Maschine_01;15,54;Produktion;91;2;62,4
2025-01-04 08:00:00;Maschine_01;13,1;Produktion;102;2;70,6
2025-01-04 09:00:00;Maschine_01;12,79;Produktion;109;2;67,8
2025-01-04 10:00:00;Maschine_01;10,25;Produktion;90;2;72,2
2025-01-04 11:00:00;Maschine_01;13,82;Produktion;90;2;69,6
2025-01-04 12:00:00;Maschine_01;13,52;Produktion;97;2;65,2
2025-01-04 13:00:00;Maschine_01;15,43;Produktion;108;3;64,2
2025-01-04 14:00:00;Maschine_01;12,16;Produktion;102;2;66,0
2025-01-04 15:00:00;Maschine_01;13,77;Produktion;94;2;67,4
2025-01-04 16:00:00;Maschine_01;14,22;Produktion;105;2;70,3
2025-01-04 17:00:00;Maschine_01;12,54;Produktion;94;2;65,3
2025-01-04 18:00:00;Maschine_01;14,24;Produktion;92;2;63,4
2025-01-04 19:00:00;Maschine_01;15,05;Produktion;108;3;68,1
2025-01-04 20:00:00;Maschine_01;13,58;Produktion;108;2;67,2
2025-01-04 21:00:00;Maschine_01;11,82;Produktion;101;2;67,3
2025-01-04 22:00:00;Maschine_01;14,9;Produktion;105;3;63,2
2025-01-04 23:00:00;Maschine_01;12,05;Produktion;94;2;67,4
2025-01-05 00:00:00;Maschine_01;13,61;Produktion;104;2;74,4
2025-01-05 01:00:00;Maschine_01;13,74;Produktion;95;2;65,5
2025-01-05 02:00:00;Maschine_01;13,49;Produktion;107;2;65,7
2025-01-05 03:00:00;Maschine_01;10,75;Produktion;102;2;67,5
2025-01-05 04:00:00;Maschine_01;14,85;Produktion;102;2;66,1
2025-01-05 05:00:00;Maschine_01;12,12;Produktion;101;2;72,9
2025-01-05 06:00:00;Maschine_01;10,07;Produktion;96;2;73,3
2025-01-05 07:00:00;Maschine_01;10,74;Produktion;109;2;65,5
2025-01-05 08:00:00;Maschine_01;15,03;Produktion;106;3;71,1
2025-01-05 09:00:00;Maschine_01;13,21;Produktion;101;2;64,3
2025-01-05 10:00:00;Maschine_01;13,19;Produktion;105;2;69,2
2025-01-05 11:00:00;Maschine_01;13,46;Produktion;92;2;67,7
2025-01-05 12:00:00;Maschine_01;12,41;Produktion;106;2;68,4
2025-01-05 13:00:00;Maschine_01;12,47;Produktion;92;2;74,9
2025-01-05 14:00:00;Maschine_01;12,95;Produktion;97;2;71,5
2025-01-05 15:00:00;Maschine_01;13,82;Produktion;107;2;63,6
2025-01-05 16:00:00;Maschine_01;11,92;Produktion;106;2;62,0
2025-01-05 17:00:00;Maschine_01;12,15;Produktion;105;2;61,0
2025-01-05 18:00:00;Maschine_01;14,23;Produktion;107;2;73,8
2025-01-05 19:00:00;Maschine_01;11,27;Produktion;90;2;68,0
2025-01-05 20:00:00;Maschine_01;13,63;Produktion;106;2;67,7
2025-01-05 21:00:00;Maschine_01;12,95;Produktion;90;2;72,5
2025-01-05 22:00:00;Maschine_01;13,64;Produktion;92;2;75,4
2025-01-05 23:00:00;Maschine_01;15,4;Produktion;99;2;69,3
2025-01-06 00:00:00;Maschine_01;11,12;Produktion;90;2;64,7
2025-01-06 01:00:00;Maschine_01;13,33;Produktion;106;2;69,7
2025-01-06 02:00:00;Maschine_01;7,93;Produktion;107;2;65,5
2025-01-06 03:00:00;Maschine_01;13,4;Produktion;106;2;72,3
2025-01-06 04:00:00;Maschine_01;14,11;Produktion;108;2;73,3
2025-01-06 05:00:00;Maschine_01;13,5;Produktion;107;2;70,9
2025-01-06 06:00:00;Maschine_01;10,55;Produktion;91;2;72,9
2025-01-06 07:00:00;Maschine_01;13,45;Produktion;99;2;59,0
2025-01-06 08:00:00;Maschine_01;10,59;Produktion;91;2;66,9
2025-01-06 09:00:00;Maschine_01;10,86;Produktion;100;2;72,0
2025-01-06 10:00:00;Maschine_01;12,96;Produktion;105;2;67,3
2025-01-06 11:00:00;Maschine_01;11,49;Produktion;92;2;69,2
2025-01-06 12:00:00;Maschine_01;13,21;Produktion;108;2;71,9
2025-01-06 13:00:00;Maschine_01;11,92;Produktion;90;2;65,1
2025-01-06 14:00:00;Maschine_01;9,93;Produktion;106;2;69,0
2025-01-06 15:00:00;Maschine_01;16,09;Produktion;104;3;68,4
2025-01-06 16:00:00;Maschine_01;12,1;Produktion;105;2;68,3
2025-01-06 17:00:00;Maschine_01;12,98;Produktion;106;2;66,7
2025-01-06 18:00:00;Maschine_01;13,41;Produktion;103;2;67,8
2025-01-06 19:00:00;Maschine_01;10,87;Produktion;102;2;72,6
2025-01-06 20:00:00;Maschine_01;13,75;Produktion;100;2;64,6
2025-01-06 21:00:00;Maschine_01;11,69;Produktion;92;2;67,7
2025-01-06 22:00:00;Maschine_01;11,84;Produktion;99;2;66,5
2025-01-06 23:00:00;Maschine_01;14,93;Produktion;101;2;68,9
2025-01-07 00:00:00;Maschine_01;12,12;Produktion;99;2;62,7
2025-01-07 01:00:00;Maschine_01;13,16;Produktion;104;2;73,6
2025-01-07 02:00:00;Maschine_01;13,77;Produktion;101;2;74,3
2025-01-07 03:00:00;Maschine_01;12,59;Produktion;91;2;64,8
2025-01-07 04:00:00;Maschine_01;13,15;Produktion;90;2;61,1
2025-01-07 05:00:00;Maschine_01;12,86;Produktion;98;2;58,5
2025-01-01 00:00:00;Maschine_02;15,1;Produktion;109;3;71,1
2025-01-01 01:00:00;Maschine_02;16,51;Produktion;108;3;73,9
2025-01-01 02:00:00;Maschine_02;12,39;Produktion;98;2;71,1
2025-01-01 03:00:00;Maschine_02;13,31;Produktion;105;2;66,1
2025-01-01 04:00:00;Maschine_02;15,37;Produktion;92;2;65,5
2025-01-01 05:00:00;Maschine_02;11,88;Produktion;107;2;64,3
2025-01-01 06:00:00;Maschine_02;12,75;Produktion;91;2;71,7
2025-01-01 07:00:00;Maschine_02;16,55;Produktion;92;2;69,7
2025-01-01 08:00:00;Maschine_02;14,71;Produktion;101;2;69,1
2025-01-01 09:00:00;Maschine_02;16,34;Produktion;90;2;69,6
2025-01-01 10:00:00;Maschine_02;15,89;Produktion;92;2;66,3
2025-01-01 11:00:00;Maschine_02;12,96;Produktion;90;2;69,8
2025-01-01 12:00:00;Maschine_02;14,18;Produktion;108;2;69,2
2025-01-01 13:00:00;Maschine_02;16,82;Produktion;91;2;64,4
2025-01-01 14:00:00;Maschine_02;15,32;Produktion;97;2;62,4
2025-01-01 15:00:00;Maschine_02;15,53;Produktion;101;2;72,4
2025-01-01 16:00:00;Maschine_02;10,74;Produktion;109;2;66,9
2025-01-01 17:00:00;Maschine_02;12,85;Produktion;108;2;69,8
2025-01-01 18:00:00;Maschine_02;15,78;Produktion;93;2;67,7
2025-01-01 19:00:00;Maschine_02;14,87;Produktion;105;3;66,9
2025-01-01 20:00:00;Maschine_02;17,81;Produktion;100;3;63,6
2025-01-01 21:00:00;Maschine_02;14,37;Produktion;103;2;65,4
2025-01-01 22:00:00;Maschine_02;13,9;Produktion;102;2;66,6
2025-01-01 23:00:00;Maschine_02;12,68;Produktion;94;2;72,7
2025-01-02 00:00:00;Maschine_02;12,28;Produktion;91;2;69,0
2025-01-02 01:00:00;Maschine_02;16,56;Produktion;106;3;69,1
2025-01-02 02:00:00;Maschine_02;16,56;Produktion;103;3;67,9
2025-01-02 03:00:00;Maschine_02;14,58;Produktion;91;2;55,5
2025-01-02 04:00:00;Maschine_02;16,18;Produktion;106;3;60,6
2025-01-02 05:00:00;Maschine_02;14,08;Produktion;105;2;66,5
2025-01-02 06:00:00;Maschine_02;16,11;Produktion;105;3;67,7
2025-01-02 07:00:00;Maschine_02;14,78;Produktion;90;2;66,4
2025-01-02 08:00:00;Maschine_02;13,64;Produktion;96;2;69,0
2025-01-02 09:00:00;Maschine_02;16,17;Produktion;100;3;66,4
2025-01-02 10:00:00;Maschine_02;15,36;Produktion;96;2;71,0
2025-01-02 11:00:00;Maschine_02;14,79;Produktion;107;3;76,9
2025-01-02 12:00:00;Maschine_02;16,01;Produktion;92;2;74,2
2025-01-02 13:00:00;Maschine_02;14,83;Produktion;94;2;68,8
2025-01-02 14:00:00;Maschine_02;15,77;Produktion;105;3;65,8
2025-01-02 15:00:00;Maschine_02;16,13;Produktion;91;2;60,4
2025-01-02 16:00:00;Maschine_02;14,15;Produktion;103;2;67,0
2025-01-02 17:00:00;Maschine_02;14,28;Produktion;94;2;62,9
2025-01-02 18:00:00;Maschine_02;16,93;Produktion;109;3;66,7
2025-01-02 19:00:00;Maschine_02;14,03;Produktion;99;2;69,5
2025-01-02 20:00:00;Maschine_02;13,43;Produktion;101;2;65,5
2025-01-02 21:00:00;Maschine_02;15,58;Produktion;102;3;71,1
2025-01-02 22:00:00;Maschine_02;15,95;Produktion;108;3;70,4
2025-01-02 23:00:00;Maschine_02;11,34;Produktion;103;2;62,7
2025-01-03 00:00:00;Maschine_02;14,37;Produktion;98;2;67,7
2025-01-03 01:00:00;Maschine_02;15,77;Produktion;94;2;69,2
2025-01-03 02:00:00;Maschine_02;12,42;Produktion;94;2;64,5
2025-01-03 03:00:00;Maschine_02;12,4;Produktion;90;2;63,8
2025-01-03 04:00:00;Maschine_02;13,52;Produktion;105;2;75,7
2025-01-03 05:00:00;Maschine_02;13,42;Produktion;94;2;71,2
2025-01-03 06:00:00;Maschine_02;14,43;Produktion;99;2;63,2
2025-01-03 07:00:00;Maschine_02;14,32;Produktion;102;2;67,1
2025-01-03 08:00:00;Maschine_02;14,0;Produktion;101;2;72,2
2025-01-03 09:00:00;Maschine_02;14,66;Produktion;103;2;73,0
2025-01-03 10:00:00;Maschine_02;16,98;Produktion;104;3;68,4
2025-01-03 11:00:00;Maschine_02;13,82;Produktion;98;2;62,9
2025-01-03 12:00:00;Maschine_02;12,7;Produktion;93;2;67,6
2025-01-03 13:00:00;Maschine_02;14,13;Produktion;98;2;65,8
2025-01-03 14:00:00;Maschine_02;13,27;Produktion;105;2;75,1
2025-01-03 15:00:00;Maschine_02;16,26;Produktion;99;3;73,5
2025-01-03 16:00:00;Maschine_02;15,3;Produktion;92;2;68,7
2025-01-03 17:00:00;Maschine_02;15,08;Produktion;95;2;73,6
2025-01-03 18:00:00;Maschine_02;16,51;Produktion;99;3;65,7
2025-01-03 19:00:00;Maschine_02;16,03;Produktion;90;2;63,9
2025-01-03 20:00:00;Maschine_02;13,86;Produktion;98;2;63,7
2025-01-03 21:00:00;Maschine_02;13,54;Produktion;105;2;68,6
2025-01-03 22:00:00;Maschine_02;15,89;Produktion;102;3;70,2
2025-01-03 23:00:00;Maschine_02;12,44;Produktion;90;2;66,2
2025-01-04 00:00:00;Maschine_02;17,33;Produktion;92;2;69,3
2025-01-04 01:00:00;Maschine_02;17,06;Produktion;102;3;65,3
2025-01-04 02:00:00;Maschine_02;14,34;Produktion;109;3;68,4
2025-01-04 03:00:00;Maschine_02;13,13;Produktion;99;2;75,9
2025-01-04 04:00:00;Maschine_02;14,57;Produktion;93;2;65,2
2025-01-04 05:00:00;Maschine_02;14,79;Produktion;108;3;69,7
2025-01-04 06:00:00;Maschine_02;15,16;Produktion;98;2;72,4
2025-01-04 07:00:00;Maschine_02;14,75;Produktion;107;3;68,5
2025-01-04 08:00:00;Maschine_02;14,42;Produktion;109;3;70,7
2025-01-04 09:00:00;Maschine_02;15,52;Produktion;99;2;72,2
2025-01-04 10:00:00;Maschine_02;15,24;Produktion;104;3;62,1
2025-01-04 11:00:00;Maschine_02;13,73;Produktion;102;2;66,5
2025-01-04 12:00:00;Maschine_02;16,53;Produktion;100;3;68,0
2025-01-04 13:00:00;Maschine_02;14,95;Produktion;93;2;68,7
2025-01-04 14:00:00;Maschine_02;15,21;Produktion;101;2;65,0
2025-01-04 15:00:00;Maschine_02;15,7;Produktion;97;2;67,5
2025-01-04 16:00:00;Maschine_02;14,4;Produktion;91;2;68,2
2025-01-04 17:00:00;Maschine_02;13,98;Produktion;91;2;69,6
2025-01-04 18:00:00;Maschine_02;14,18;Produktion;102;2;66,4
2025-01-04 19:00:00;Maschine_02;10,0;Produktion;92;2;66,3
2025-01-04 20:00:00;Maschine_02;13,78;Produktion;104;2;70,5
2025-01-04 21:00:00;Maschine_02;11,69;Produktion;109;2;66,0
2025-01-04 22:00:00;Maschine_02;17,56;Produktion;106;3;65,6
2025-01-04 23:00:00;Maschine_02;13,65;Produktion;105;2;70,2
2025-01-05 00:00:00;Maschine_02;15,98;Produktion;105;3;63,9
2025-01-05 01:00:00;Maschine_02;11,9;Produktion;98;2;68,7
2025-01-05 02:00:00;Maschine_02;15,91;Produktion;102;3;69,0
2025-01-05 03:00:00;Maschine_02;14,48;Produktion;99;2;65,9
2025-01-05 04:00:00;Maschine_02;11,76;Produktion;100;2;66,8
2025-01-05 05:00:00;Maschine_02;15,05;Produktion;95;2;73,0
2025-01-05 06:00:00;Maschine_02;14,72;Produktion;103;2;67,9
2025-01-05 07:00:00;Maschine_02;16,33;Produktion;108;3;82,8
2025-01-05 08:00:00;Maschine_02;14,98;Produktion;93;2;70,8
2025-01-05 09:00:00;Maschine_02;14,16;Produktion;95;2;66,6
2025-01-05 10:00:00;Maschine_02;17,84;Produktion;99;3;67,6
2025-01-05 11:00:00;Maschine_02;14,18;Produktion;90;2;70,0
2025-01-05 12:00:00;Maschine_02;16,0;Produktion;101;3;73,6
2025-01-05 13:00:00;Maschine_02;15,98;Produktion;95;2;72,0
2025-01-05 14:00:00;Maschine_02;12,05;Produktion;96;2;68,4
2025-01-05 15:00:00;Maschine_02;15,52;Produktion;106;3;70,2
2025-01-05 16:00:00;Maschine_02;13,3;Produktion;101;2;73,6
2025-01-05 17:00:00;Maschine_02;14,14;Produktion;107;2;61,5
2025-01-05 18:00:00;Maschine_02;13,73;Produktion;100;2;64,7
2025-01-05 19:00:00;Maschine_02;15,93;Produktion;100;2;68,6
2025-01-05 20:00:00;Maschine_02;13,76;Produktion;109;2;57,7
2025-01-05 21:00:00;Maschine_02;17,71;Produktion;97;3;68,8
2025-01-05 22:00:00;Maschine_02;14,2;Produktion;106;2;74,3
2025-01-05 23:00:00;Maschine_02;13,36;Produktion;109;2;72,7
2025-01-06 00:00:00;Maschine_02;14,7;Produktion;101;2;66,8
2025-01-06 01:00:00;Maschine_02;14,12;Produktion;101;2;65,4
2025-01-06 02:00:00;Maschine_02;16,09;Produktion;105;3;73,5
2025-01-06 03:00:00;Maschine_02;13,73;Produktion;90;2;63,7
2025-01-06 04:00:00;Maschine_02;13,24;Produktion;101;2;58,9
2025-01-06 05:00:00;Maschine_02;14,89;Produktion;106;3;69,1
2025-01-06 06:00:00;Maschine_02;16,47;Produktion;107;3;64,7
2025-01-06 07:00:00;Maschine_02;15,04;Produktion;103;2;66,5
2025-01-06 08:00:00;Maschine_02;11,92;Produktion;99;2;63,0
2025-01-06 09:00:00;Maschine_02;16,76;Produktion;96;2;67,6
2025-01-06 10:00:00;Maschine_02;14,03;Produktion;92;2;63,3
2025-01-06 11:00:00;Maschine_02;14,46;Produktion;102;2;67,4
2025-01-06 12:00:00;Maschine_02;15,0;Produktion;109;3;74,4
2025-01-06 13:00:00;Maschine_02;11,28;Produktion;97;2;73,7
2025-01-06 14:00:00;Maschine_02;17,77;Produktion;93;2;70,7
2025-01-06 15:00:00;Maschine_02;15,58;Produktion;107;3;71,6
2025-01-06 16:00:00;Maschine_02;16,84;Produktion;98;3;71,5
2025-01-06 17:00:00;Maschine_02;16,53;Produktion;102;3;69,6
2025-01-06 18:00:00;Maschine_02;16,77;Produktion;92;2;67,6
2025-01-06 19:00:00;Maschine_02;14,99;Produktion;102;2;75,2
2025-01-06 20:00:00;Maschine_02;13,91;Produktion;90;2;63,5
2025-01-06 21:00:00;Maschine_02;10,42;Produktion;105;2;56,4
2025-01-06 22:00:00;Maschine_02;13,84;Produktion;101;2;64,0
2025-01-06 23:00:00;Maschine_02;16,18;Produktion;109;3;67,7
2025-01-07 00:00:00;Maschine_02;13,23;Produktion;90;2;64,2
2025-01-07 01:00:00;Maschine_02;14,79;Produktion;97;2;76,9
2025-01-07 02:00:00;Maschine_02;15,83;Produktion;99;2;68,1
2025-01-07 03:00:00;Maschine_02;16,12;Produktion;108;3;69,0
2025-01-07 04:00:00;Maschine_02;14,3;Produktion;92;2;67,4
2025-01-07 05:00:00;Maschine_02;12,14;Produktion;98;2;68,1
2025-01-01 00:00:00;Maschine_03;22,5;Produktion;98;3;73,6
2025-01-01 01:00:00;Maschine_03;20,0;Produktion;99;3;72,1
2025-01-01 02:00:00;Maschine_03;18,31;Produktion;106;3;72,4
2025-01-01 03:00:00;Maschine_03;17,13;Produktion;94;2;71,7
2025-01-01 04:00:00;Maschine_03;17,71;Produktion;99;3;74,4
2025-01-01 05:00:00;Maschine_03;16,82;Produktion;94;2;65,9
2025-01-01 06:00:00;Maschine_03;18,97;Produktion;103;3;64,3
2025-01-01 07:00:00;Maschine_03;16,47;Produktion;97;2;66,3
2025-01-01 08:00:00;Maschine_03;19,14;Produktion;100;3;70,3
2025-01-01 09:00:00;Maschine_03;18,15;Produktion;109;3;70,2
2025-01-01 10:00:00;Maschine_03;18,17;Produktion;100;3;67,3
2025-01-01 11:00:00;Maschine_03;18,57;Produktion;102;3;63,5
2025-01-01 12:00:00;Maschine_03;20,29;Produktion;98;3;70,6
2025-01-01 13:00:00;Maschine_03;17,25;Produktion;93;2;62,5
2025-01-01 14:00:00;Maschine_03;17,18;Produktion;100;3;69,3
2025-01-01 15:00:00;Maschine_03;16,74;Produktion;98;3;65,3
2025-01-01 16:00:00;Maschine_03;17,64;Produktion;105;3;73,6
2025-01-01 17:00:00;Maschine_03;17,42;Produktion;107;3;67,4
2025-01-01 18:00:00;Maschine_03;18,85;Produktion;103;3;67,2
2025-01-01 19:00:00;Maschine_03;16,07;Produktion;92;2;72,4
2025-01-01 20:00:00;Maschine_03;16,44;Produktion;97;2;76,9
2025-01-01 21:00:00;Maschine_03;16,73;Produktion;93;2;66,5
2025-01-01 22:00:00;Maschine_03;17,79;Produktion;100;3;74,0
2025-01-01 23:00:00;Maschine_03;20,41;Produktion;103;3;72,6
2025-01-02 00:00:00;Maschine_03;17,36;Produktion;93;2;67,0
2025-01-02 01:00:00;Maschine_03;18,29;Produktion;103;3;66,0
2025-01-02 02:00:00;Maschine_03;15,61;Produktion;94;2;68,3
2025-01-02 03:00:00;Maschine_03;17,42;Produktion;107;3;70,8
2025-01-02 04:00:00;Maschine_03;18,59;Produktion;109;3;73,6
2025-01-02 05:00:00;Maschine_03;18,2;Produktion;97;3;64,8
2025-01-02 06:00:00;Maschine_03;19,73;Produktion;95;3;67,6
2025-01-02 07:00:00;Maschine_03;16,91;Produktion;95;2;73,3
2025-01-02 08:00:00;Maschine_03;17,45;Produktion;102;3;66,8
2025-01-02 09:00:00;Maschine_03;16,65;Produktion;104;3;72,0
2025-01-02 10:00:00;Maschine_03;16,36;Produktion;106;3;76,1
2025-01-02 11:00:00;Maschine_03;16,83;Produktion;108;3;66,9
2025-01-02 12:00:00;Maschine_03;19,47;Produktion;96;3;72,6
2025-01-02 13:00:00;Maschine_03;17,35;Produktion;102;3;73,8
2025-01-02 14:00:00;Maschine_03;21,11;Produktion;108;3;71,7
2025-01-02 15:00:00;Maschine_03;18,25;Produktion;99;3;65,1
2025-01-02 16:00:00;Maschine_03;17,15;Produktion;94;2;65,5
2025-01-02 17:00:00;Maschine_03;17,57;Produktion;96;3;60,6
2025-01-02 18:00:00;Maschine_03;17,7;Produktion;90;2;69,5
2025-01-02 19:00:00;Maschine_03;17,02;Produktion;94;2;71,1
2025-01-02 20:00:00;Maschine_03;18,3;Produktion;109;3;69,9
2025-01-02 21:00:00;Maschine_03;14,96;Produktion;103;2;69,4
2025-01-02 22:00:00;Maschine_03;18,83;Produktion;93;3;62,2
2025-01-02 23:00:00;Maschine_03;17,27;Produktion;91;2;76,9
2025-01-03 00:00:00;Maschine_03;17,17;Produktion;91;2;70,3
2025-01-03 01:00:00;Maschine_03;19,16;Produktion;102;3;74,2
2025-01-03 02:00:00;Maschine_03;15,25;Produktion;101;2;70,4
2025-01-03 03:00:00;Maschine_03;19,52;Produktion;97;3;68,6
2025-01-03 04:00:00;Maschine_03;18,7;Produktion;99;3;66,5
2025-01-03 05:00:00;Maschine_03;17,01;Produktion;92;2;66,8
2025-01-03 06:00:00;Maschine_03;14,39;Produktion;100;2;62,6
2025-01-03 07:00:00;Maschine_03;17,34;Produktion;97;3;65,7
2025-01-03 08:00:00;Maschine_03;17,8;Produktion;108;3;69,2
2025-01-03 09:00:00;Maschine_03;16,77;Produktion;108;3;71,9
2025-01-03 10:00:00;Maschine_03;17,69;Produktion;104;3;68,5
2025-01-03 11:00:00;Maschine_03;18,44;Produktion;100;3;67,9
2025-01-03 12:00:00;Maschine_03;16,97;Produktion;95;2;68,4
2025-01-03 13:00:00;Maschine_03;18,78;Produktion;99;3;65,2
2025-01-03 14:00:00;Maschine_03;19,6;Produktion;105;3;71,8
2025-01-03 15:00:00;Maschine_03;15,52;Produktion;109;3;71,9
2025-01-03 16:00:00;Maschine_03;16,15;Produktion;103;3;71,4
2025-01-03 17:00:00;Maschine_03;17,97;Produktion;90;2;72,9
2025-01-03 18:00:00;Maschine_03;17,71;Produktion;95;3;73,0
2025-01-03 19:00:00;Maschine_03;17,86;Produktion;104;3;60,5
2025-01-03 20:00:00;Maschine_03;20,24;Produktion;106;3;74,8
2025-01-03 21:00:00;Maschine_03;18,44;Produktion;95;3;63,7
2025-01-03 22:00:00;Maschine_03;20,24;Produktion;106;3;67,6
2025-01-03 23:00:00;Maschine_03;18,85;Produktion;95;3;71,6
2025-01-04 00:00:00;Maschine_03;18,81;Produktion;102;3;67,7
2025-01-04 01:00:00;Maschine_03;16,41;Produktion;96;2;62,5
2025-01-04 02:00:00;Maschine_03;18,6;Produktion;104;3;65,5
